timestamp,date,base,USD,EUR,JPY,GBP,CHF
924393599,1999-04-17,USD,1.0,0.9358923124869559,118.02296305377916,0.6206332434564749,1.4992171260806046
924479999,1999-04-18,USD,1.0,0.9358923124869559,118.02296305377916,0.6206332434564749,1.4992171260806046
924566399,1999-04-19,USD,1.0,0.9410852406778449,117.88687684864432,0.6205309038276761,1.5066878222628772
924652799,1999-04-20,USD,1.0,0.9406806765375425,118.302765601189,0.6199857016537165,1.5066383835343253
924739199,1999-04-21,USD,1.0,0.9425203937850205,119.56913622718511,0.6225036169220112,1.5091382064779426
924825599,1999-04-22,USD,1.0,0.9430643745172689,119.76153957145269,0.6208004164572277,1.5105212976943019
924911999,1999-04-23,USD,1.0,0.9414662206627357,119.44775097841877,0.6189989766262182,1.5083776371645672
924998399,1999-04-24,USD,1.0,0.9416896360463727,119.49750122655077,0.6191260931839563,1.5085350040163066
925084799,1999-04-25,USD,1.0,0.9416896360463727,119.49750122655077,0.6191260931839563,1.5085350040163066
925171199,1999-04-26,USD,1.0,0.9441693764327771,119.09314042064635,0.6198689115237761,1.512295917789284
925257599,1999-04-27,USD,1.0,0.938706237515207,120.11453718027666,0.6185923912227212,1.5086989907030535
925343999,1999-04-28,USD,1.0,0.9408691937785967,119.15752032042242,0.6186723018458913,1.5113793424641555
925430399,1999-04-29,USD,1.0,0.9440053770546277,119.06373924305873,0.6212310585321095,1.5184458650676476
925516799,1999-04-30,USD,1.0,0.9452546326929547,119.52799938747499,0.6209888119661674,1.5227702388469404
925603199,1999-05-01,USD,1.0,0.9443316492752254,119.54126729307332,0.6207904055904433,1.522457150951414
925689599,1999-05-02,USD,1.0,0.9443316492752254,119.54126729307332,0.6207904055904433,1.522457150951414
925775999,1999-05-03,USD,1.0,0.9455898163759135,120.10072233606071,0.6211721342245832,1.523167423296118
925862399,1999-05-04,USD,1.0,0.9429149839563016,121.0089039461935,0.6170737387804903,1.517371794206919
925948799,1999-05-05,USD,1.0,0.9324922253460712,120.73124082077965,0.6123508595247087,1.4986614074105158
926035199,1999-05-06,USD,1.0,0.926093137186807,120.7141808011632,0.6103250123864957,1.4889595806650278
926121599,1999-05-07,USD,1.0,0.9288518091246687,120.76002277544636,0.6126557916696855,1.4929639475458807
926207999,1999-05-08,USD,1.0,0.9287638153617536,120.78303427138478,0.6130156961084796,1.493617535060834
926294399,1999-05-09,USD,1.0,0.9287638153617536,120.78303427138478,0.6130156961084796,1.493617535060834
926380799,1999-05-10,USD,1.0,0.9274949381963747,120.70705814373018,0.6147232401479168,1.4927511633105262
926467199,1999-05-11,USD,1.0,0.9328854239451164,121.00684178169922,0.616448822372085,1.4998297484101297
926553599,1999-05-12,USD,1.0,0.938555581730828,120.95891566796533,0.6179158997885434,1.505798865661724
926639999,1999-05-13,USD,1.0,0.9394725988724449,121.71066216847186,0.6173922683284058,1.5057754078015682
926726399,1999-05-14,USD,1.0,0.9384657399004663,122.62203667711805,0.6181148287910028,1.5038359787118432
926812799,1999-05-15,USD,1.0,0.9376403530403459,122.59926845299658,0.6181018971277265,1.5031818825380427
926899199,1999-05-16,USD,1.0,0.9376403530403459,122.59926845299658,0.6181018971277265,1.5031818825380427
926985599,1999-05-17,USD,1.0,0.9370235820724899,123.24766189190683,0.6176615826890515,1.5013291679511696
927071999,1999-05-18,USD,1.0,0.9362366656492895,123.1706993500645,0.6166120216532816,1.5000533654899422
927158399,1999-05-19,USD,1.0,0.9391082228315991,124.41284230494722,0.6180966154539649,1.5050542804552796
927244799,1999-05-20,USD,1.0,0.9406833311854398,124.26063230852156,0.6207174215493619,1.5074939537578889
927331199,1999-05-21,USD,1.0,0.9456050170019783,124.03944780449427,0.623775914305491,1.5169074177039954
927417599,1999-05-22,USD,1.0,0.9460979608750649,124.10908320269297,0.6235920879719727,1.5165789476173943
927503999,1999-05-23,USD,1.0,0.9460979608750649,124.10908320269297,0.6235920879719727,1.5165789476173943
927590399,1999-05-24,USD,1.0,0.9441488733943569,123.44698651283336,0.6258111419008551,1.5126548994245415
927676799,1999-05-25,USD,1.0,0.9435751496274294,122.77583862600363,0.6242344067129711,1.5037040042498624
927763199,1999-05-26,USD,1.0,0.9543897154964258,122.123975224043,0.6257742486566965,1.5190648889567566
927849599,1999-05-27,USD,1.0,0.9576590216746967,121.30716338524803,0.6256932254243148,1.5238289506068208
927935999,1999-05-28,USD,1.0,0.9593504046540008,121.11156861465967,0.6245447882329918,1.5261115993138727
928022399,1999-05-29,USD,1.0,0.9570953305233013,121.2076284326224,0.6247889604796196,1.525012729367896
928108799,1999-05-30,USD,1.0,0.9570953305233013,121.2076284326224,0.6247889604796196,1.525012729367896
928195199,1999-05-31,USD,1.0,0.9589189531290006,121.60119807334004,0.6241315790230726,1.5263496544535553
928281599,1999-06-01,USD,1.0,0.9574013828705574,120.79822670115864,0.6211955262548181,1.52466744662966
928367999,1999-06-02,USD,1.0,0.9654513243578542,121.19415708858499,0.621941812248681,1.5353331048431866
928454399,1999-06-03,USD,1.0,0.9664142070619751,121.43356047288579,0.6224190700582651,1.5372354561909944
928540799,1999-06-04,USD,1.0,0.9665524523852098,121.94835613591661,0.6214458658135231,1.5361940064082429
928627199,1999-06-05,USD,1.0,0.9672807609791204,121.93416590412703,0.6213095820766745,1.5350571566201663
928713599,1999-06-06,USD,1.0,0.9672807609791204,121.93416590412703,0.6213095820766745,1.5350571566201663
928799999,1999-06-07,USD,1.0,0.9714727040456982,120.94665254793004,0.6236310735259116,1.540922801921573
928886399,1999-06-08,USD,1.0,0.9579360692626095,120.05046981974517,0.6237313334182704,1.5267834135285479
928972799,1999-06-09,USD,1.0,0.9558319609179429,118.98731993320648,0.6238992400180079,1.5224405448624512
929059199,1999-06-10,USD,1.0,0.9541866369978236,118.84522233979922,0.623886344921294,1.5228627889157864
929145599,1999-06-11,USD,1.0,0.9504971575382504,118.23835902368734,0.6201642268988794,1.5194485975889689
929231999,1999-06-12,USD,1.0,0.9519729639678233,118.26903422342805,0.6196791851111428,1.5193640820600691
929318399,1999-06-13,USD,1.0,0.9519729639678233,118.26903422342805,0.6196791851111428,1.5193640820600691
929404799,1999-06-14,USD,1.0,0.9593780160446378,120.39164592811187,0.6214524599411708,1.5294788082990034
929491199,1999-06-15,USD,1.0,0.959981261165782,120.5038941639859,0.626765045546311,1.5322894497099415
929577599,1999-06-16,USD,1.0,0.9697458683977276,120.22947387407655,0.6296841149808281,1.5454859299571952
929663999,1999-06-17,USD,1.0,0.9674127030962044,119.51625785418187,0.6274754881806353,1.5442886372540958
929750399,1999-06-18,USD,1.0,0.9633577255509443,120.22861153177732,0.6266073623650817,1.5385458693147442
929836799,1999-06-19,USD,1.0,0.9628253146031716,120.17554423700908,0.6256997332973879,1.5377283099527252
929923199,1999-06-20,USD,1.0,0.9628253146031716,120.17554423700908,0.6256997332973879,1.5377283099527252
930009599,1999-06-21,USD,1.0,0.9673462596589525,122.29696659559897,0.6289017911383344,1.544069393551283
930095999,1999-06-22,USD,1.0,0.9689161994068295,121.7358734440417,0.6294302482072628,1.5461703102760345
930182399,1999-06-23,USD,1.0,0.9693472996892272,121.98032128046901,0.6331757174624038,1.54956272743311
930268799,1999-06-24,USD,1.0,0.9634273349384032,121.93899192744233,0.631311773756432,1.541279489306438
930355199,1999-06-25,USD,1.0,0.9580305956651031,121.3911773046384,0.6297527897850945,1.5313065238051442
930441599,1999-06-26,USD,1.0,0.9582904099087228,121.46392084521213,0.6299484918904674,1.5319795884142688
930527999,1999-06-27,USD,1.0,0.9582904099087228,121.46392084521213,0.6299484918904674,1.5319795884142688
930614399,1999-06-28,USD,1.0,0.9645247786415633,121.24472308493606,0.6319614575898455,1.541819865352341
930700799,1999-06-29,USD,1.0,0.9673078950703089,120.94288530533558,0.6333216289078031,1.5482111091442519
930787199,1999-06-30,USD,1.0,0.9682735488968459,120.94828838284761,0.6344815766591851,1.5519778923783314
930873599,1999-07-01,USD,1.0,0.9767046181524459,120.88688979158097,0.6343794165361952,1.5667758296861556
930959999,1999-07-02,USD,1.0,0.9762669504349268,121.06575646044652,0.633746619675684,1.5680272573732559
931046399,1999-07-03,USD,1.0,0.9765338906086736,121.03946368758727,0.6340536898333056,1.568403269435466
931132799,1999-07-04,USD,1.0,0.9765338906086736,121.03946368758727,0.6340536898333056,1.568403269435466
931219199,1999-07-05,USD,1.0,0.9774788864560526,122.14838618235848,0.6351726227713482,1.5693149827963717
931305599,1999-07-06,USD,1.0,0.9769927966321104,122.06125549436324,0.6384286438656087,1.5672078229767212
931391999,1999-07-07,USD,1.0,0.9779951100244499,122.14628557457213,0.6411784841075795,1.5688166259168703
931478399,1999-07-08,USD,1.0,0.980193235294406,122.54765846538989,0.6420638164607771,1.5729807774304627
931564799,1999-07-09,USD,1.0,0.9819960837996178,122.30530454644547,0.6451007233383153,1.5770061688993984
931651199,1999-07-10,USD,1.0,0.9813494536336917,122.28345592023594,0.6452765197422977,1.576843096942606
931737599,1999-07-11,USD,1.0,0.9813494536336917,122.28345592023594,0.6452765197422977,1.576843096942606
931823999,1999-07-12,USD,1.0,0.9858355153159406,122.23740299378531,0.6432734471118963,1.5840671235685668
931910399,1999-07-13,USD,1.0,0.9828879212903353,121.44913161852156,0.6421521313924574,1.5762200096323018
931996799,1999-07-14,USD,1.0,0.9798935639610826,120.72269306107971,0.6402830324570146,1.5743969490033993
932083199,1999-07-15,USD,1.0,0.9792142197572136,120.65750611764084,0.6385504887747778,1.573223191317895
932169599,1999-07-16,USD,1.0,0.9804604045967905,120.87178225150967,0.6392650860991305,1.5748645248835946
